src,dst,kind
article-3.22,article-3.23,HAS_SUBUNIT
article-3.23,article-3.24,HAS_SUBUNIT
article-3.24,article-3.25,HAS_SUBUNIT
article-3.25,article-3.26,HAS_SUBUNIT
article-3.26,article-3.27,HAS_SUBUNIT
article-3.27,article-3.28,HAS_SUBUNIT
article-3.28,article-3.29,HAS_SUBUNIT
article-3.29,article-3.30,HAS_SUBUNIT
article-3.30,article-3.31,HAS_SUBUNIT
article-3.31,article-3.32,HAS_SUBUNIT
article-3.32,article-3.33,HAS_SUBUNIT
article-3.33,article-3.34,HAS_SUBUNIT
article-3.34,article-3.35,HAS_SUBUNIT
article-3.35,article-3.36,HAS_SUBUNIT
article-3.36,article-3.37,HAS_SUBUNIT
article-3.37,article-3.38,HAS_SUBUNIT
article-3.38,article-3.39,HAS_SUBUNIT
article-3.39,article-3.40,HAS_SUBUNIT
article-3.40,article-3.41,HAS_SUBUNIT
article-3.41,article-3.42,HAS_SUBUNIT
article-3.42,article-3.43,HAS_SUBUNIT
article-3.43,article-3.44,HAS_SUBUNIT
article-3.44,article-3.45,HAS_SUBUNIT
article-3.45,article-3.45.a,HAS_SUBUNIT
article-3.45.a,article-3.45.a.b,HAS_SUBUNIT
article-3.45.a.b,article-3.46,HAS_SUBUNIT
article-3.46,article-3.47,HAS_SUBUNIT
article-3.47,article-3.48,HAS_SUBUNIT
article-3.48,article-3.49,HAS_SUBUNIT
article-3.49,article-3.49.a,HAS_SUBUNIT
article-3.49.a,article-3.49.a.b,HAS_SUBUNIT
article-3.49.a.b,article-3.49.a.b.c,HAS_SUBUNIT
article-3.49.a.b.c,article-3.49.a.b.c.d,HAS_SUBUNIT
article-3.49.a.b.c.d,article-3.50,HAS_SUBUNIT
article-3.50,article-3.51,HAS_SUBUNIT
article-3.51,article-3.52,HAS_SUBUNIT
article-3.52,article-3.53,HAS_SUBUNIT
article-3.53,article-3.54,HAS_SUBUNIT
article-3.54,article-3.55,HAS_SUBUNIT
article-3.55,article-3.56,HAS_SUBUNIT
article-3.56,article-3.57,HAS_SUBUNIT
article-3.57,article-3.58,HAS_SUBUNIT
article-3.58,article-3.59,HAS_SUBUNIT
article-3.59,article-3.60,HAS_SUBUNIT
article-3.60,article-3.61,HAS_SUBUNIT
article-3.61,article-3.61.a,HAS_SUBUNIT
article-3.61.a,article-3.61.a.i,HAS_SUBUNIT
article-3.61.a.i,article-3.61.a.i.ii,HAS_SUBUNIT
article-3.61.a.i.ii,article-3.61.a.i.ii.iii,HAS_SUBUNIT
article-3.61.a.i.ii.iii,article-3.61.a.i.ii.iii.b,HAS_SUBUNIT
article-3.61.a.i.ii.iii.b,article-3.62,HAS_SUBUNIT
article-3.62,article-3.63,HAS_SUBUNIT
article-3.63,article-3.64,HAS_SUBUNIT
article-3.64,article-3.65,HAS_SUBUNIT
article-3.65,article-3.66,HAS_SUBUNIT
article-3.66,article-3.67,HAS_SUBUNIT
article-3.67,article-3.68,HAS_SUBUNIT
article-30,article-30.1,HAS_SUBUNIT
article-30.1,article-30.2,HAS_SUBUNIT
article-30.2,article-30.3,HAS_SUBUNIT
article-30.3,article-30.4,HAS_SUBUNIT
